FECHA,SUBPARTIDA,CANTIDAD,TOTAL_USD
20221019,87,866,19836170
20221019,83,155,886808
20221019,82,258,927243
20221020,87,914,16978239
20221020,82,255,945522
20221020,83,198,1098603
20221021,87,1383,55439361
20221021,83,255,2058983
20221021,82,369,1304685
20221022,87,605,23628706
20221022,83,74,242227
20221022,82,80,142612
20221023,87,78,24155593
20221023,83,6,11485
20221023,82,5,55274
20221024,83,164,2262036
20221024,87,1026,11333716
20221024,82,227,1345247
20221025,87,895,16064127
20221025,83,206,718270
20221025,82,374,1176115
20221026,87,987,11835364
20221026,83,177,1148847
20221026,82,329,1239669
20221027,87,1106,23340053
20221027,83,232,885499
20221027,82,309,1312234
20221028,82,179,645675
20221028,87,994,15453777
20221028,83,157,1110523
20221029,83,56,185664
20221029,82,63,189519
20221029,87,189,13843553
20221030,87,30,6648120
20221030,82,9,3299
20221030,83,12,42017
20221031,82,296,1100555
20221031,83,181,914595
20221031,87,808,8643675
20221101,82,194,283299
20221101,83,170,531969
20221101,87,847,17133925
20221102,82,281,548159
20221102,83,178,595448
20221102,87,872,17767370
20221103,82,220,742877
20221103,83,169,474236
20221103,87,787,23351771
20221104,82,278,1153360
20221104,87,1312,24089196
20221104,83,243,1499942
20221105,83,94,266543
20221105,82,88,417847
20221105,87,702,11720371
20221106,82,12,77605
20221106,87,50,5769795
20221106,83,5,4304
20221107,83,3,809
20221107,82,3,31
20221108,83,184,1532925
20221108,87,787,19784683
20221108,82,336,1069802
20221109,82,309,830448
20221109,83,241,1531901
20221109,87,1097,14664500
20221110,87,844,22273679
20221110,82,284,955677
20221110,83,189,948490
20221111,83,167,787315
20221111,82,324,1373431
20221111,87,1150,16177468
20221112,83,30,56736
20221112,82,84,445080
20221112,87,100,1456167
20221113,82,11,51721
20221113,83,9,54472
20221114,87,7,12978
20221114,83,6,11153
20221114,82,21,30216
20221115,83,200,575235
20221115,82,292,1161530
20221115,87,1061,10679890
20221116,87,1028,13458935
20221116,82,349,1009041
20221116,83,239,1620295
20221117,83,241,1260793
20221117,82,329,1210625
20221117,87,1089,36672577
20221118,83,215,991137
20221118,82,328,1361166
20221118,87,1207,31130420
20221119,82,107,688520
20221119,83,69,192893
20221119,87,274,25049156
20221120,83,9,5538
20221120,82,16,75618
20221120,87,43,3916316
20221121,82,261,1051912
20221121,83,196,866680
20221121,87,876,7332151
20221122,87,622,13726614
20221122,83,150,589822
20221122,82,196,710266
20221123,87,972,19300030
20221123,82,168,528176
20221123,83,157,430672
20221124,83,220,926884
20221124,87,1013,15848191
20221124,82,265,921938
20221125,83,129,958995
20221125,87,729,10846591
20221125,82,264,723491
20221126,82,57,119478
20221126,83,28,167897
20221126,87,83,760613
20221127,82,7,2478
20221127,83,8,5179
20221128,87,978,48437848
20221128,82,258,1392543
20221128,83,162,895866
20221129,82,238,1253569
20221129,87,896,24975459
20221129,83,195,1360349
20221130,87,650,12601189
20221130,82,308,888937
20221130,83,172,718944
20221201,82,196,633177
20221201,87,1056,21112096
20221201,83,174,1055614
20221202,83,186,1142727
20221202,82,251,942561
20221202,87,958,7084931
20221203,82,75,85937
20221203,87,172,1006251
20221203,83,44,91755
20221204,82,7,462
20221204,83,7,5112
20221205,87,885,29764967
20221205,82,299,1283758
20221205,83,202,955124
20221206,83,177,641134
20221206,87,863,33424213
20221206,82,209,812335
20221207,87,888,33856981
20221207,82,241,1341889
20221207,83,213,2150828
20221208,87,43,395019
20221208,82,12,13911
20221208,83,12,9641
20221209,83,210,2231487
20221209,82,287,1399258
20221209,87,814,25137583
20221210,87,175,10206074
20221210,83,53,135226
20221210,82,84,138123
20221211,87,16,4235473
20221211,83,15,69400
20221211,82,8,3866
20221212,83,234,901182
20221212,87,764,19335266
20221212,82,332,1714258
20221213,87,1052,28394000
20221213,83,213,762037
20221213,82,299,944041
20221214,82,229,874299
20221214,87,945,18634388
20221214,83,194,845682
20221215,83,186,650659
